size,total_net_assets,net_annual_expenses,morningstar_rating,inception_date,portfolio_bonds,sectors_basic_materials,sectors_consumer_cyclical,sectors_financial_services,sectors_real_estate,sectors_consumer_defensive,sectors_healthcare,sectors_utilities,sectors_communication_services,sectors_energy,sectors_industrials,sectors_technology,price_earning,returns_2017,returns_2016,alpha,beta
Medium,33560000,0.85,2,1/5/2011,99.28,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0.65,-0.35,0.61
Large,3180000000,0.73,4,6/8/1991,0,9.42,9.3,19.99,1.89,8,11.49,2.37,7.09,10.23,14.03,6.2,14.36,24.83,0.27,-1.13,0.92
Others,30210000,1.28,4,4/1/2004,32.63,4.76,0,0,0,0,0,1.59,0,83.07,10.58,0,0,7.14,6.21,3.04,0.9
Medium,548050000,0.9,3,15/07/1987,66.33,46.31,1.5,43.61,0.86,0.49,1.38,1.04,0.85,2,0.91,1.03,9.89,4.87,7.13,1.6,0.49
Large,3180000000,1.07,4,31/07/1994,0,9.42,9.3,19.99,1.89,8,11.49,2.37,7.09,10.23,14.03,6.2,14.36,24.4,-0.09,-1.49,0.92
Large,3180000000,1.2,3,30/04/2003,0,9.42,9.3,19.99,1.89,8,11.49,2.37,7.09,10.23,14.03,6.2,14.36,24.31,-0.14,-1.58,0.92
Large,190000000,1.01,4,15/07/1987,0,6.97,17.02,17.57,0.81,4.47,11.33,3.05,4.12,5.6,12.46,16.58,15.65,20.83,4.87,3.63,0.82
Large,6760000000,0.58,3,27/02/2017,0,3.25,9.28,28.17,0.07,6.26,11.96,1.4,3.58,15.62,11.22,9.19,13.1,0,0,-4.66,1.09
Large,6860000000,0.34,5,31/01/2007,9.46,4.65,13.34,15.76,1.19,8.18,13.43,2.33,3.22,7.55,10.28,20.06,16.57,22.18,7.96,0.71,1.43
Large,15630000,1.95,0,17/12/2015,11.91,1.72,9.23,26.75,1.61,2.89,10.53,0.73,1.08,2.31,15.51,27.64,17.69,11.38,0,0,0
