size,total_net_assets,net_annual_expenses,morningstar_rating,inception_date,portfolio_bonds,sectors_basic_materials,sectors_consumer_cyclical,sectors_financial_services,sectors_real_estate,sectors_consumer_defensive,sectors_healthcare,sectors_utilities,sectors_communication_services,sectors_energy,sectors_industrials,sectors_technology,price_earning,returns_2017,returns_2016,alpha,beta
Medium,12850000,0.72,3,25/08/1991,0,5.28,23.11,13.47,1.19,5.95,9.15,1.17,0,0,12.4,28.29,14.81,25.92,7.5,-1.16,0.92
Medium,10350000,0.85,5,30/06/2013,0,0.36,15.12,14.29,0,20.04,12.17,0,0,4.81,12.34,20.87,14.15,20.76,21.29,0.35,0.94
Medium,12850000,0.9,3,29/11/1994,0,5.28,23.11,13.47,1.19,5.95,9.15,1.17,0,0,12.4,28.29,14.81,25.75,7.21,-1.37,0.92
Large,71810000,0.7,3,29/06/2006,58.51,7.07,15.33,16.54,2.72,6.96,11.3,2.2,3.42,7.27,11.82,15.37,16.56,9.68,4.77,-0.53,0.61
Large,71810000,1.45,2,29/06/2006,58.51,7.07,15.33,16.54,2.72,6.96,11.3,2.2,3.42,7.27,11.82,15.37,16.56,8.74,4.04,-1.23,0.6
Medium,401090000,1.62,2,2/1/1994,98.78,0,0,0,0,0,0,0,0,0,0,0,0,3.48,-0.47,-0.74,0.79
Medium,285950000,1.18,3,20/10/1994,97.34,0,0,0,0,0,0,0,0,0,0,0,0,6.46,-0.08,0.16,1.11
Medium,985130000,1.12,5,20/10/1994,94.78,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0.61,1.04,1.02
Medium,9060000000,1.25,4,20/10/1994,94.83,0,0,0,0,0,0,0,0,0,0,0,0,4.57,-0.41,-0.24,0.78
Large,120000000,0.64,4,27/11/2008,0,0,0,14.51,0,0,16.22,0,0,9.56,50.46,9.24,17.02,11.24,11.69,0.23,1.23
Medium,229010000,1.64,2,10/12/2000,99.18,0,0,0,0,0,0,0,0,0,0,0,0,4.77,-0.32,-0.54,0.95
Large,120000000,0.98,4,2/1/1995,0,0,0,14.51,0,0,16.22,0,0,9.56,50.46,9.24,17.02,10.8,11.43,-0.06,1.22
Large,71810000,1.45,2,28/02/2008,58.51,7.07,15.33,16.54,2.72,6.96,11.3,2.2,3.42,7.27,11.82,15.37,16.56,8.84,4.04,-1.27,0.6
Medium,317510000,0.5,5,27/02/2013,97.62,0,0,0,0,0,0,0,0,0,0,0,0,6.75,1.07,1.25,1.19
Large,22850000,0.61,2,30/12/2009,68.63,4.95,12.28,19.7,2.5,7.24,12.27,2.79,4.07,5.15,10.07,18.98,15.77,8.36,4.22,-0.35,0.51
Others,13150000,4.17,3,30/12/2014,2.55,0,0,0,0,0,0,0,0,0,0,0,0,6.85,16.24,-1.18,1.28
Large,20010000,2.11,2,20/10/1994,0.82,9.15,11.84,30.19,6.56,1.43,0.53,1.62,0,6.97,8.87,22.85,13.22,27.05,1.44,-1.55,0.98
Others,13150000,4,3,30/12/2014,2.55,0,0,0,0,0,0,0,0,0,0,0,0,7.1,16.54,-0.96,1.28
Medium,2950000000,1.46,3,30/10/2003,0,5.04,18.67,7.69,1.71,1.99,12.56,0,1.46,1.21,21.57,28.1,26.62,25.62,4.15,1.32,0.94
Large,505890000,1.19,4,20/10/1994,94.89,0,0,0,0,0,0,0,0,0,0,0,0,5.14,-0.36,-0.17,0.96
Others,39740000,1.15,0,28/04/2016,56.75,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0
Medium,360000,1.9,2,31/01/1995,0,5.91,10.04,21.27,6.28,4.95,10.26,9.79,2.64,8.64,7.11,13.11,14.41,7.73,21.37,-4.69,1.04
Large,693410000,1.39,2,30/12/2002,0,4.08,13.53,17.82,0,11.88,21.03,0,1.05,0,8.99,21.63,21.26,23.17,-2.92,-1.32,0.84
Large,637330000,0.85,5,12/9/2013,0,0,25.66,0,4.45,0,9.67,0,0,0,5.54,54.69,43.68,48.34,-3.51,7.77,1.06
Large,621750000,1.05,3,1/6/2010,27.6,0,0,0,0,0,0,0,0,0,0,0,0,3.38,11.4,-0.23,0.75
Large,11290000,2.05,1,30/04/1986,98.91,0,0,0,0,0,0,0,0,0,0,0,0,0.85,-0.27,-2.07,0.78
Large,621750000,0.81,3,1/6/2010,27.6,0,0,0,0,0,0,0,0,0,0,0,0,3.64,11.48,0,0.74
Medium,63690000,1.5,5,30/05/2011,0,6.58,17.01,2.14,10.53,3.05,15.86,0,0,5.01,14.72,25.09,12.76,53.88,-2.35,8.01,1
Large,493680000,2,1,20/10/1994,0,3.52,13.32,17.4,4.2,7.58,13.87,2.44,2.26,4.53,11.27,19.62,17.33,7.89,22.37,-4.24,1.08
Large,621750000,0.8,3,3/9/2012,27.6,0,0,0,0,0,0,0,0,0,0,0,0,3.81,11.48,-0.01,0.74
Large,183720000,1.22,3,27/02/2008,0,2.82,15.58,15.62,1.74,7.79,13.24,1.26,1.83,8.41,7.36,24.35,15.16,23.51,7.33,-1.25,1.02
Large,120000000,1.89,3,30/04/1986,0,0,0,14.51,0,0,16.22,0,0,9.56,50.46,9.24,17.02,9.8,10.39,-0.98,1.22
Large,205090000,0.58,3,19/06/2011,66.42,4.74,13.49,18.27,6.35,7.98,11.24,2.09,2.45,4.53,11.4,17.47,16.11,8.26,4.4,-1.13,0.6
Large,1660000000,1.89,3,31/08/1998,46.5,2.49,3.31,14.83,3.3,12.34,10.56,15.85,12.68,10.64,8.33,5.66,14.7,11.1,8.19,-3.58,1.09
Medium,1570000000,1.09,3,29/04/2014,0,2.36,16.3,14.57,10.49,8.61,11.11,10.2,2.47,4.98,8.56,10.36,13.74,9.35,15.82,-1.02,0.7
Medium,1570000000,1.89,3,29/04/2014,0,2.36,16.3,14.57,10.49,8.61,11.11,10.2,2.47,4.98,8.56,10.36,13.74,8.43,15.04,-1.76,0.7
Medium,730000000,0.85,4,31/10/2001,0,5.81,11.23,21.69,6.44,6.82,6.11,8.68,0.32,9.06,12.36,11.49,14.97,13.69,15.68,-2.83,0.9
Medium,730000000,1.35,3,30/10/2003,0,5.81,11.23,21.69,6.44,6.82,6.11,8.68,0.32,9.06,12.36,11.49,14.97,13.1,15.13,-3.33,0.9
Small,2690000000,2.16,3,12/5/2011,0,5.46,12.72,29,7.33,4.04,5.55,4.9,0,5.72,15.3,9.97,14.72,11.26,23.03,-2.53,1.01
Large,73560000,1.95,3,26/07/2005,0,1.92,2.37,28.35,0,7.57,20.27,5.08,4.37,12.37,6.36,11.34,14.21,14.89,16.38,-5.55,1.14
Large,292030000,1.39,3,20/10/1994,68.51,8.9,10.2,25.22,2.71,7.15,2.95,2.82,4.46,7.7,4.74,23.14,12.74,6.46,4.22,1.1,1.04
Small,11110000,1.95,1,10/3/2014,0.83,0,0,0,0,0,0,0,0,0,0,0,8.42,24.57,-36.17,-25.2,2.21
Small,11110000,2.7,1,10/3/2014,0.83,0,0,0,0,0,0,0,0,0,0,0,8.42,23.79,-36.67,-25.86,2.2
Small,11110000,1.7,1,10/3/2014,0.83,0,0,0,0,0,0,0,0,0,0,0,8.42,24.97,-36.14,-24.98,2.21
Large,85740000,0,0,14/11/2017,0,8.53,9.88,22.47,2.48,4.04,6.09,1.45,1.62,6.49,5.28,31.67,15.2,0,0,0,0
Medium,1060000000,0.59,4,21/12/2008,95.51,0,0,0,0,0,0,0,0,0,0,0,0,4.52,7.11,0.62,0.92
Large,85740000,0,0,14/11/2017,0,8.53,9.88,22.47,2.48,4.04,6.09,1.45,1.62,6.49,5.28,31.67,15.2,0,0,0,0
Small,834210000,1.57,2,31/07/2006,95.02,0,0,0,0,0,0,0,0,0,0,0,0,7.96,0.02,0.85,1.24
Large,85740000,0,0,14/11/2017,0,8.53,9.88,22.47,2.48,4.04,6.09,1.45,1.62,6.49,5.28,31.67,15.2,0,0,0,0
Large,85740000,0,0,14/11/2017,0,8.53,9.88,22.47,2.48,4.04,6.09,1.45,1.62,6.49,5.28,31.67,15.2,0,0,0,0
Large,85740000,0,0,14/11/2017,0,8.53,9.88,22.47,2.48,4.04,6.09,1.45,1.62,6.49,5.28,31.67,15.2,0,0,0,0
Medium,1160000000,0.87,2,31/03/2014,95.54,0,0,0,0,0,0,0,0,0,0,0,0,4.23,2.4,-0.44,0.91
Medium,1160000000,0.42,4,2/12/2010,95.54,0,0,0,0,0,0,0,0,0,0,0,0,4.64,2.95,-0.01,0.92
Large,2560000000,0.82,2,20/10/1994,0,2.12,3.36,26.83,0.19,7.71,19.54,7.49,5.45,12.23,4.01,11.07,13.56,8.25,18.28,-6.78,1.12
Medium,212250000,0.96,3,31/03/2014,91.96,0,0,0,0,0,0,0,0,0,0,0,0,4.63,3.43,-0.08,0.9
Medium,212250000,0.81,4,2/5/1999,91.96,0,0,0,0,0,0,0,0,0,0,0,0,4.77,3.64,0.09,0.9
Medium,212250000,1.21,2,31/03/2014,91.96,0,0,0,0,0,0,0,0,0,0,0,0,4.31,3.16,-0.34,0.89
Medium,212250000,0.61,4,2/5/1999,91.96,0,0,0,0,0,0,0,0,0,0,0,0,4.98,3.8,0.25,0.9
Medium,212250000,0.71,4,2/5/1999,91.96,0,0,0,0,0,0,0,0,0,0,0,0,4.9,3.75,0.15,0.91
Medium,212250000,0.51,4,2/12/2010,91.96,0,0,0,0,0,0,0,0,0,0,0,0,5.09,3.91,0.39,0.9
Large,85450000,1.25,4,30/10/2012,28.74,8.38,9.6,19.17,9.92,9.32,4.05,2.11,6.13,7.13,6.82,17.37,12.9,20.7,16.05,-2.24,1.73
Large,2090000000,0.56,5,20/10/1994,88.03,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0.31,1.57,0.88
Large,1040000000,0.9,4,20/10/1994,42.09,2.72,12.34,17.61,3.53,7.83,13.29,2.42,2.44,5.62,10.67,21.52,17.2,14.24,8.2,1.29,1.01
Large,442560000,1.13,3,14/10/2004,0,3.75,9.06,28.69,0.69,4.42,13.68,3.34,4.37,7.49,8.26,16.27,13.58,18.45,12.77,-3.56,1.06
Large,342970000,1.68,3,20/10/1994,0,10.25,16.03,31.95,4.48,0,2.11,1.4,1.61,5.27,4.1,22.8,12.76,41.66,8.08,1.98,1.12
Large,80540000,1.3,2,26/07/2005,0,2.87,25.58,16.26,1.47,3.41,11.37,0,1.04,0,6.96,31.03,27.49,23.99,0.32,-0.46,1.07
Large,442560000,0.58,3,31/03/2014,0,3.75,9.06,28.69,0.69,4.42,13.68,3.34,4.37,7.49,8.26,16.27,13.58,19.07,13.39,-3.04,1.06
Large,442560000,0.88,3,14/10/2004,0,3.75,9.06,28.69,0.69,4.42,13.68,3.34,4.37,7.49,8.26,16.27,13.58,18.72,13.01,-3.31,1.06
Large,442560000,1.03,3,31/03/2014,0,3.75,9.06,28.69,0.69,4.42,13.68,3.34,4.37,7.49,8.26,16.27,13.58,18.56,12.9,-3.47,1.06
Large,20750000000,0.96,4,20/10/1994,0,1.92,2.37,28.34,0,7.57,20.27,5.08,4.37,12.36,6.36,11.36,14.21,16.43,16,-0.39,0.94
Large,207990000,1.32,2,20/10/1994,0,6.71,11.04,16.02,1.89,11.03,11.84,2.26,3,4.4,24.74,7.06,15.65,22.08,-8.09,-4.1,0.91
Large,279690000,1.25,2,3/11/2005,0,0,8.64,13.59,0,16.31,22.81,0,3.46,0,18.29,16.89,19.81,24.48,-5.05,-0.4,0.78
Large,56020000,0.75,2,27/06/2013,0,2.59,18.16,20.31,11.42,0.03,12.66,9.07,5.39,6.77,6.95,6.66,12.6,7.28,4.09,-5.4,0.53
Large,56020000,1.1,1,27/06/2013,0,2.59,18.16,20.31,11.42,0.03,12.66,9.07,5.39,6.77,6.95,6.66,12.6,6.99,3.62,-5.75,0.53
Others,102080000,0.89,2,26/07/2005,98.11,0,0,0,0,0,0,0,0,0,0,0,0,3.74,3.18,-0.72,0.9
Large,3130000000,1.08,4,30/12/1997,0,2.89,25.71,16.34,1.5,3.41,11.41,0,1.06,0,6.99,30.7,27.51,32.59,-0.36,1.7,1.12
Large,163160000,1.28,4,2/3/2000,0,3.2,23.51,17.28,1.55,2.45,13.35,0,0,0,7.77,30.89,27.56,30.27,0.33,2.92,1.06
Large,102920000,0.82,4,29/02/2012,0,2.13,9.78,10.17,0,16.37,19.04,0,1.73,2.55,23.87,14.37,14.25,22.83,15.25,0.24,0.94
Large,58020000,1.5,3,4/8/1994,0,7.08,10.3,17,1.95,8.42,12.8,1.51,3.91,4.91,12.71,19.41,14.42,23.5,7.61,1.54,0.89
Large,234030000,1.13,3,20/10/1994,0,48.33,4.33,0,0,8.32,0,0,0,37.66,1.37,0,14.94,7.89,26.32,-5.26,1.06
Small,1160000000,1.04,4,16/12/2012,89.7,0,0,0,0,0,0,0,0,90.79,9.21,0,16.79,4.38,10.67,3.15,0.23
Small,1160000000,1.86,3,16/12/2012,89.7,0,0,0,0,0,0,0,0,90.79,9.21,0,16.79,3.52,9.74,2.32,0.22
Small,1160000000,0.79,4,16/12/2012,89.7,0,0,0,0,0,0,0,0,90.79,9.21,0,16.79,4.64,10.82,3.45,0.21
Large,12560000000,0.79,3,23/09/2007,73.09,1.64,11.2,37.81,2.64,0,0,0,12.06,21.21,12.59,0.85,11.87,3.82,3.19,-0.04,0.94
Small,1160000000,1.14,4,16/12/2012,89.7,0,0,0,0,0,0,0,0,90.79,9.21,0,16.79,4.18,10.57,3.07,0.21
Small,1160000000,1.39,3,28/02/2016,89.7,0,0,0,0,0,0,0,0,90.79,9.21,0,16.79,4.02,0,2.84,0.21
Small,1160000000,1.11,4,16/12/2012,89.7,0,0,0,0,0,0,0,0,90.79,9.21,0,16.79,4.3,10.56,3.06,0.22
Large,12130000000,0.35,5,29/09/2004,0,8.97,10.8,15.46,2.57,18.81,8.55,1.4,1.95,2.96,12.06,16.46,17.54,29.94,2.16,2.68,0.84
Large,12130000000,1.1,4,29/09/2004,0,8.97,10.8,15.46,2.57,18.81,8.55,1.4,1.95,2.96,12.06,16.46,17.54,28.91,1.43,1.93,0.84
Large,12130000000,1.1,4,29/09/2004,0,8.97,10.8,15.46,2.57,18.81,8.55,1.4,1.95,2.96,12.06,16.46,17.54,29,1.4,1.93,0.83
Large,12130000000,0.35,5,31/03/2005,0,8.97,10.8,15.46,2.57,18.81,8.55,1.4,1.95,2.96,12.06,16.46,17.54,29.89,2.2,2.68,0.84
Large,11740000000,0.35,3,8/4/1997,0.34,8.02,12.07,21.67,3.59,11.27,9.18,3.34,4.14,5.61,13.4,7.72,14.04,24.84,0.78,-0.42,0.91
Large,12130000000,0.1,5,29/09/2004,0,8.97,10.8,15.46,2.57,18.81,8.55,1.4,1.95,2.96,12.06,16.46,17.54,30.28,2.47,2.94,0.84
Large,12130000000,0.6,5,29/09/2004,0,8.97,10.8,15.46,2.57,18.81,8.55,1.4,1.95,2.96,12.06,16.46,17.54,29.56,1.97,2.42,0.84
Large,612040000,1.37,3,29/10/1998,0,4.04,12.26,31.89,0,17.99,7.8,3.76,3.34,2.87,0,16.06,14.08,31.32,0.33,-0.87,1.02
Large,12130000000,1.1,4,31/03/2005,0,8.97,10.8,15.46,2.57,18.81,8.55,1.4,1.95,2.96,12.06,16.46,17.54,28.95,1.38,1.94,0.83
Large,81230000,1.45,2,26/07/2005,0,7.81,12.45,32.84,0,12.73,3.36,5.01,2.32,3.6,0,19.88,12.96,28.33,-1.56,-2.72,0.96
Large,19850000000,0.96,4,30/12/1992,3.17,3.11,12.31,26.63,0,4.33,15.22,3.24,6.54,10.31,5.2,13.11,14.33,9.84,12.86,0.32,0.7
Large,12130000000,0.1,5,31/03/2005,0,8.97,10.8,15.46,2.57,18.81,8.55,1.4,1.95,2.96,12.06,16.46,17.54,30.25,2.47,2.93,0.83
Large,850530000,1.39,2,1/6/1999,0.5,18.31,3.81,14.92,1.7,7.5,10.55,3.45,11.46,9.64,16.6,2.06,9.9,0,0,-0.35,1.06
Large,12130000000,0,5,1/10/2017,0,8.97,10.8,15.46,2.57,18.81,8.55,1.4,1.95,2.96,12.06,16.46,17.54,0,0,2.97,0.84
Medium,490570000,0.78,3,25/07/2012,0.19,6.07,13.39,17.79,8.55,3.73,7.76,4.87,0.48,4.85,16.62,15.89,17.15,15.26,19.71,-0.96,0.96
Medium,490570000,0.68,4,31/03/2014,0.19,6.07,13.39,17.79,8.55,3.73,7.76,4.87,0.48,4.85,16.62,15.89,17.15,15.34,19.8,-0.88,0.96
Medium,490570000,0.28,4,25/07/2012,0.19,6.07,13.39,17.79,8.55,3.73,7.76,4.87,0.48,4.85,16.62,15.89,17.15,15.78,20.25,-0.48,0.96
Medium,490570000,0.43,4,25/07/2012,0.19,6.07,13.39,17.79,8.55,3.73,7.76,4.87,0.48,4.85,16.62,15.89,17.15,15.59,20.18,-0.63,0.96
Medium,490570000,0.93,3,31/03/2014,0.19,6.07,13.39,17.79,8.55,3.73,7.76,4.87,0.48,4.85,16.62,15.89,17.15,15.02,19.56,-1.07,0.96
Medium,490570000,0.53,4,25/07/2012,0.19,6.07,13.39,17.79,8.55,3.73,7.76,4.87,0.48,4.85,16.62,15.89,17.15,15.49,20.03,-0.74,0.96
Medium,490570000,0.18,4,25/07/2012,0.19,6.07,13.39,17.79,8.55,3.73,7.76,4.87,0.48,4.85,16.62,15.89,17.15,15.85,20.47,-0.36,0.96
Large,715150000,1.13,5,21/12/1999,0,1.37,26.38,19.16,1.71,2.62,11.54,0,1.11,0,6.37,29.75,27.67,29.36,7.55,3.75,1.11
Medium,469910000,0.48,2,20/10/1994,85.41,0,0,0,0,0,0,0,0,0,0,0,0,0.86,-0.17,-0.63,0.18
Large,35690000000,1.07,3,20/10/1994,27.96,6.18,12.46,14.51,2.39,5.69,14.04,3.39,7.23,6.32,8.33,19.46,16.22,13.32,3.75,-2.75,1.02
Large,220000000,1,3,21/12/1999,0,2.74,12.27,17.3,3.67,7.82,13.3,2.39,2.47,5.55,10.83,21.67,17.26,21.73,10.03,-0.83,1.05
Large,163850000,1.62,3,26/09/1991,0.12,18.25,12,28.93,3.04,12.03,1.02,2.31,6.77,10.81,4.28,0.56,11.61,27.79,24.17,-0.51,1.22
Large,635270000,1.04,3,21/12/1999,0,2.85,6.58,27.03,4.99,8.11,14.28,5.49,2.8,11.22,7.99,8.66,15.1,17.26,13.48,-2.3,1
Medium,7570000000,0.64,5,20/10/1994,92.42,0,0,0,0,0,0,0,0,0,0,0,0,7.97,0.72,1.94,0.97
Medium,285950000,0.68,5,20/10/1994,97.34,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0.34,0.64,1.12
Medium,985130000,0.63,5,20/10/1994,94.78,0,0,0,0,0,0,0,0,0,0,0,0,6.83,1.1,1.54,1.01
Medium,9060000000,0.7,5,20/10/1994,94.83,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0.15,0.29,0.8
Large,20010000,1.32,3,20/10/1994,0.82,9.15,11.84,30.19,6.56,1.43,0.53,1.62,0,6.97,8.87,22.85,13.22,28.15,2.23,-0.76,0.98
Medium,34320000,1.57,3,3/9/2001,0,6,14.09,17.48,8.26,4.18,7.55,4.38,0.52,4.68,16.3,16.57,20.05,14.17,18.65,-1.98,0.96
Medium,34320000,2.57,2,3/9/2001,0,6,14.09,17.48,8.26,4.18,7.55,4.38,0.52,4.68,16.3,16.57,20.05,13.03,17.45,-2.99,0.96
Large,505890000,0.68,5,20/10/1994,94.89,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0.17,0.37,0.94
Medium,360000,1.12,3,31/01/1995,0,5.91,10.04,21.27,6.28,4.95,10.26,9.79,2.64,8.64,7.11,13.11,14.41,8.55,22.31,-3.91,1.04
Large,73850000,0.78,3,30/12/2003,62.17,4.77,13.5,18.22,6.38,8.06,11.23,2.09,2.45,4.5,11.44,17.35,16.09,8.65,4.66,-1.39,0.66
Large,73850000,0.28,4,30/12/2003,62.17,4.77,13.5,18.22,6.38,8.06,11.23,2.09,2.45,4.5,11.44,17.35,16.09,9.3,5.07,-0.94,0.67
Large,73850000,0.18,3,31/03/2014,62.17,4.77,13.5,18.22,6.38,8.06,11.23,2.09,2.45,4.5,11.44,17.35,16.09,9.24,5.29,-0.9,0.68
Large,73850000,0.08,3,31/03/2014,62.17,4.77,13.5,18.22,6.38,8.06,11.23,2.09,2.45,4.5,11.44,17.35,16.09,9.37,5.3,-0.78,0.68
Large,73850000,0.38,3,30/12/2003,62.17,4.77,13.5,18.22,6.38,8.06,11.23,2.09,2.45,4.5,11.44,17.35,16.09,9.08,5.04,-1.05,0.67
Large,73850000,0.53,2,31/03/2014,62.17,4.77,13.5,18.22,6.38,8.06,11.23,2.09,2.45,4.5,11.44,17.35,16.09,9.03,4.83,-1.11,0.66
Others,23580000,0.55,5,29/06/2011,91.47,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0.59,0.01,0.23
Small,120000000,0.37,3,8/4/1997,0,5.57,12.17,17.44,7.25,3.22,15.49,3.32,0.96,3.4,14.06,17.12,17.5,14.34,21.04,-0.39,1.06
Large,493680000,1.19,2,20/10/1994,0,3.52,13.32,17.4,4.2,7.58,13.87,2.44,2.26,4.53,11.27,19.62,17.33,8.75,23.41,-3.45,1.08
Medium,212250000,1.06,3,2/5/1999,91.96,0,0,0,0,0,0,0,0,0,0,0,0,4.53,3.39,-0.18,0.9
Large,442560000,1.28,3,14/10/2004,0,3.75,9.06,28.69,0.69,4.42,13.68,3.34,4.37,7.49,8.26,16.27,13.58,18.3,12.62,-3.71,1.06
Large,442560000,0.68,3,14/10/2004,0,3.75,9.06,28.69,0.69,4.42,13.68,3.34,4.37,7.49,8.26,16.27,13.58,19,13.24,-3.12,1.06
Large,73560000,1.19,3,26/07/2005,0,1.92,2.37,28.35,0,7.57,20.27,5.08,4.37,12.37,6.36,11.34,14.21,15.71,17.29,-4.77,1.14
Large,442560000,0.78,3,14/10/2004,0,3.75,9.06,28.69,0.69,4.42,13.68,3.34,4.37,7.49,8.26,16.27,13.58,18.87,13.12,-3.25,1.06
Large,292030000,0.84,3,20/10/1994,68.51,8.9,10.2,25.22,2.71,7.15,2.95,2.82,4.46,7.7,4.74,23.14,12.74,7.04,4.8,1.6,1.05
Medium,2310000000,0.47,5,30/03/1987,99.91,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0.9,0.31,0.82
Small,834210000,0.82,4,31/07/2006,95.02,0,0,0,0,0,0,0,0,0,0,0,0,8.79,0.66,1.59,1.24
Medium,5870000,1.49,1,28/02/2002,0,0,0,0,0,0,0,0,0,0,0,0,19.43,12.94,12.8,-4.94,1.11
Small,26070000,1.44,3,23/05/2012,94.31,0,0,0,0,0,0,0,0,0,0,0,0,12.28,12.15,2.86,1.3
Small,26070000,1.19,3,23/05/2012,94.31,0,0,0,0,0,0,0,0,0,0,0,0,12.54,12.53,3.12,1.31
Medium,513510000,1.48,4,29/04/2013,0,2.64,24.79,17.98,2.07,32.14,7.15,1.46,0,2.73,5.77,3.26,12.12,18.42,19.25,5.59,0.55
Small,130920000,1.62,5,31/03/1996,0,3.87,16.34,16.55,1.56,5,18.16,1.13,0,3.66,12.58,21.14,20.1,22.22,24.67,8.14,0.92
Large,118050000,1.15,0,29/06/2016,0,6.31,22.6,15.85,0.95,6.09,13.86,0.86,0,1.28,13.34,18.87,18.03,26.82,0,0,0
Large,118050000,1.99,0,29/06/2016,0,6.31,22.6,15.85,0.95,6.09,13.86,0.86,0,1.28,13.34,18.87,18.03,25.62,0,0,0
Large,118050000,0.93,0,29/06/2016,0,6.31,22.6,15.85,0.95,6.09,13.86,0.86,0,1.28,13.34,18.87,18.03,27.12,0,0,0
Large,288830000,1.56,3,3/11/2010,0,1.56,20.32,20.9,0.07,23.34,8.25,0,1.28,0.63,4.23,19.44,19.87,47.4,-3.14,1.09,1.01
Small,130920000,1.42,5,24/06/1993,0,3.87,16.34,16.55,1.56,5,18.16,1.13,0,3.66,12.58,21.14,20.1,22.41,24.93,8.32,0.92
Large,2090000000,0.71,5,1/10/2006,88.03,0,0,0,0,0,0,0,0,0,0,0,0,6.98,0.18,1.44,0.87
Large,118050000,1.27,0,29/06/2016,0,6.31,22.6,15.85,0.95,6.09,13.86,0.86,0,1.28,13.34,18.87,18.03,26.64,0,0,0
Small,130920000,0,5,30/05/2017,0,3.87,16.34,16.55,1.56,5,18.16,1.13,0,3.66,12.58,21.14,20.1,0,0,8.36,0.92
Small,5980000000,1.06,4,16/03/1998,92.55,0,0,0,0,0,0,0,0,100,0,0,0,9.33,9.21,1.52,1.24
Small,5980000000,1.83,3,30/05/2002,92.55,0,0,0,0,0,0,0,0,100,0,0,0,8.5,8.46,0.75,1.25
Small,5980000000,1.83,3,30/05/2002,92.55,0,0,0,0,0,0,0,0,100,0,0,0,8.5,8.46,0.75,1.25
Small,5980000000,1.83,3,30/11/2008,92.55,0,0,0,0,0,0,0,0,100,0,0,0,8.57,8.38,0.76,1.24
Small,5980000000,1.33,3,30/11/2008,92.55,0,0,0,0,0,0,0,0,100,0,0,0,9.04,9,1.27,1.25
Small,5980000000,1.08,3,30/11/2008,92.55,0,0,0,0,0,0,0,0,100,0,0,0,9.33,9.28,1.52,1.26
Small,5980000000,0.83,3,30/11/2008,92.55,0,0,0,0,0,0,0,0,100,0,0,0,9.6,9.55,1.76,1.26
Small,5980000000,0.74,4,30/04/2006,92.55,0,0,0,0,0,0,0,0,100,0,0,0,9.63,9.65,1.84,1.25
Small,5980000000,0.83,4,16/03/1998,92.55,0,0,0,0,0,0,0,0,100,0,0,0,9.61,9.49,1.74,1.25
Large,17320000,1.39,2,29/09/1999,0,0,0,5.54,0,0,94.46,0,0,0,0,0,13.86,10.71,-8.01,-8.93,1
Large,532580000,1.64,2,31/03/2014,0,3.15,22.89,6.11,0,14.56,11.31,0,3.68,0.63,13.41,24.26,18.23,25.73,-2.88,0.36,0.87
Medium,7190000000,1.27,4,30/05/2000,0,3.72,14.93,9.62,0.69,4.35,16.96,0.77,0.41,1.92,22.05,24.58,19.86,24.02,5.56,-0.48,0.95
Medium,7190000000,1.17,3,31/03/2014,0,3.72,14.93,9.62,0.69,4.35,16.96,0.77,0.41,1.92,22.05,24.58,19.86,24.18,5.67,-0.36,0.95
Large,104130000,1.44,5,28/05/2015,0.07,6.45,13.08,26.57,0.02,1.71,4.7,6.03,2.32,4.97,0.31,33.84,12.05,46.35,10.28,4.62,1.1
Medium,7190000000,1.42,4,29/12/2002,0,3.72,14.93,9.62,0.69,4.35,16.96,0.77,0.41,1.92,22.05,24.58,19.86,23.87,5.39,-0.63,0.95
Large,67450000,1,2,9/12/1999,0,2.86,17.62,23.51,0.17,1.46,12.94,0.24,0.26,0.33,20.28,20.33,16.87,21.89,5.66,-6.06,1.13
Medium,7190000000,0.92,4,30/05/2000,0,3.72,14.93,9.62,0.69,4.35,16.96,0.77,0.41,1.92,22.05,24.58,19.86,24.46,5.95,-0.12,0.95
Medium,7190000000,0.72,5,14/11/2010,0,3.72,14.93,9.62,0.69,4.35,16.96,0.77,0.41,1.92,22.05,24.58,19.86,24.66,6.19,0.06,0.95
Medium,39890000,1.82,1,16/10/1994,0,13.82,28.82,9.32,0,13.27,13.93,0,0.25,0.41,8.96,11.22,18.99,19.17,8.66,-2.9,0.97
Large,18660000000,1.68,3,28/12/1986,0,2.94,15.94,13.74,0,4.81,11.72,0,2.24,0.94,11.42,36.27,26.27,29.55,1.51,2.87,0.98
Large,18660000000,1.19,4,30/10/2003,0,2.94,15.94,13.74,0,4.81,11.72,0,2.24,0.94,11.42,36.27,26.27,30.19,2,3.36,0.98
Large,12560000000,0.6,3,23/09/2007,73.09,1.64,11.2,37.81,2.64,0,0,0,12.06,21.21,12.59,0.85,11.87,4.1,3.38,0.14,0.94
